,Unnamed: 0,Date,Symbol,Open,High,Low,Close,Volume,Compound_x,Negative_x,Neutral_x,Positive_x,Compound_y,Negative_y,Neutral_y,Positive_y
95,48573,2015-05-20,ATLH,353.0,353.0,353.0,353.0,100,-0.9118,0.357,0.6,0.042,-0.9118,0.357,0.6,0.042
96,49047,2015-05-21,ATLH,352.99,354.0,352.99,354.0,500,-0.5267,0.176,0.701,0.122,-0.5267,0.176,0.701,0.122
97,49516,2015-05-22,ATLH,352.5,358.0,352.0,352.5,1600,-0.7184,0.162,0.838,0.0,-0.7184,0.162,0.838,0.0
98,49990,2015-05-25,ATLH,359.9,359.9,355.0,355.0,2100,0.2263,0.096,0.751,0.153,0.2263,0.096,0.751,0.153
99,50514,2015-05-27,ATLH,374.99,374.99,356.3,365.0,3600,-0.1531,0.087,0.843,0.07,-0.1531,0.087,0.843,0.07
100,51037,2015-05-28,ATLH,362.9,365.0,357.05,364.5,4300,-0.4019,0.109,0.823,0.068,-0.4019,0.109,0.823,0.068
101,51565,2015-05-29,ATLH,362.0,362.0,355.0,359.99,9300,-0.802,0.274,0.618,0.108,-0.802,0.274,0.618,0.108
102,52123,2015-06-01,ATLH,340.0,349.99,336.0,346.0,4200,-0.7351,0.237,0.665,0.098,-0.7351,0.237,0.665,0.098
103,52639,2015-06-02,ATLH,353.0,357.0,349.99,354.35,11900,0.0258,0.087,0.802,0.111,0.0258,0.087,0.802,0.111
104,53154,2015-06-03,ATLH,359.0,359.0,355.0,355.0,15200,-0.4215,0.156,0.767,0.077,-0.4215,0.156,0.767,0.077
105,53681,2015-06-04,ATLH,351.0,356.48,350.0,350.68,7100,0.4939,0.0,0.904,0.096,0.4939,0.0,0.904,0.096
106,54195,2015-06-05,ATLH,362.64,365.0,350.0,350.0,500,-0.9545,0.339,0.661,0.0,-0.9545,0.339,0.661,0.0
107,54724,2015-06-08,ATLH,350.5,352.0,350.0,351.56,1800,0.7184,0.126,0.62,0.254,0.7184,0.126,0.62,0.254
108,55250,2015-06-09,ATLH,340.0,359.0,340.0,350.0,300,-0.875,0.285,0.672,0.043,-0.875,0.285,0.672,0.043
109,55769,2015-06-10,ATLH,346.0,351.5,345.0,349.37,4400,0.6369,0.125,0.636,0.239,0.6369,0.125,0.636,0.239
110,56299,2015-06-12,ATLH,350.0,352.0,350.0,352.0,500,-0.6808,0.29,0.502,0.208,-0.6808,0.29,0.502,0.208
111,56836,2015-06-15,ATLH,351.0,351.0,344.0,346.56,10500,-0.25,0.176,0.699,0.124,-0.25,0.176,0.699,0.124
112,57356,2015-06-16,ATLH,350.0,350.0,343.97,347.0,400,-0.6249,0.164,0.792,0.044,-0.6249,0.164,0.792,0.044
113,57889,2015-06-17,ATLH,339.01,346.0,339.01,343.0,2100,-0.3818,0.176,0.74,0.084,-0.3818,0.176,0.74,0.084
114,58426,2015-06-18,ATLH,349.4,349.4,345.5,346.0,800,-0.4767,0.134,0.866,0.0,-0.4767,0.134,0.866,0.0
115,58932,2015-06-19,ATLH,346.0,346.0,340.0,340.0,600,0.5267,0.0,0.898,0.102,0.5267,0.0,0.898,0.102
116,59426,2015-06-22,ATLH,340.0,342.99,340.0,342.99,200,-0.9144,0.311,0.689,0.0,-0.9144,0.311,0.689,0.0
117,59966,2015-06-23,ATLH,343.0,343.0,343.0,343.0,100,-0.4019,0.135,0.798,0.067,-0.4019,0.135,0.798,0.067
118,60536,2015-06-24,ATLH,350.0,350.0,345.0,346.0,1200,-0.5423,0.15,0.818,0.032,-0.5423,0.15,0.818,0.032
119,61613,2015-06-26,ATLH,335.1,339.0,328.7,329.55,4400,-0.9524,0.274,0.697,0.029,-0.9524,0.274,0.697,0.029
120,62151,2015-06-29,ATLH,325.0,338.88,325.0,338.88,1200,-0.9222,0.27,0.73,0.0,-0.9222,0.27,0.73,0.0
121,62641,2015-06-30,ATLH,331.05,338.0,331.0,334.98,1100,-0.9435,0.356,0.644,0.0,-0.9435,0.356,0.644,0.0
122,63145,2015-07-01,ATLH,339.8,345.0,338.0,345.0,1700,-0.8893,0.246,0.684,0.07,-0.8893,0.246,0.684,0.07
123,63651,2015-07-02,ATLH,354.89,354.89,354.89,354.89,100,-0.9217,0.289,0.711,0.0,-0.9217,0.289,0.711,0.0
124,64151,2015-07-03,ATLH,349.0,349.0,345.0,345.67,500,-0.7351,0.176,0.824,0.0,-0.7351,0.176,0.824,0.0
125,64659,2015-07-06,ATLH,345.0,345.0,345.0,345.0,1700,-0.9758,0.514,0.486,0.0,-0.9758,0.514,0.486,0.0
126,65171,2015-07-07,ATLH,346.0,346.0,341.0,341.0,2200,-0.743,0.174,0.826,0.0,-0.743,0.174,0.826,0.0
127,65683,2015-07-08,ATLH,341.0,341.0,340.0,340.0,500,-0.25,0.08,0.92,0.0,-0.25,0.08,0.92,0.0
128,66196,2015-07-09,ATLH,335.0,340.0,330.0,340.0,500,0.3879,0.036,0.86,0.104,0.3879,0.036,0.86,0.104
129,66688,2015-07-10,ATLH,330.05,340.0,330.05,340.0,500,-0.6369,0.145,0.801,0.054,-0.6369,0.145,0.801,0.054
130,67182,2015-07-13,ATLH,340.0,340.0,340.0,340.0,100,0.3724,0.0,0.926,0.074,0.3724,0.0,0.926,0.074
131,67692,2015-07-14,ATLH,335.0,339.9,335.0,336.0,1300,-0.34,0.118,0.807,0.075,-0.34,0.118,0.807,0.075
132,68211,2015-07-15,ATLH,336.0,340.0,336.0,337.94,6800,0.4588,0.0,0.917,0.083,0.4588,0.0,0.917,0.083
133,68734,2015-07-16,ATLH,340.25,354.83,340.25,354.83,12800,0.4939,0.0,0.881,0.119,0.4939,0.0,0.881,0.119
134,69268,2015-07-22,ATLH,348.0,349.99,348.0,349.0,300,-0.4019,0.176,0.729,0.094,-0.4019,0.176,0.729,0.094
135,69805,2015-07-23,ATLH,350.0,350.0,342.0,342.0,700,-0.765,0.197,0.803,0.0,-0.765,0.197,0.803,0.0
136,70332,2015-07-24,ATLH,345.0,347.0,345.0,345.67,400,0.3182,0.0,0.909,0.091,0.3182,0.0,0.909,0.091
137,70863,2015-07-27,ATLH,342.0,342.0,335.0,338.0,1000,-0.8625,0.212,0.788,0.0,-0.8625,0.212,0.788,0.0
138,71412,2015-07-28,ATLH,340.0,340.0,335.0,336.0,2800,-0.7506,0.215,0.785,0.0,-0.7506,0.215,0.785,0.0
139,71978,2015-07-29,ATLH,335.01,342.0,335.01,342.0,1300,-0.2023,0.152,0.714,0.134,-0.2023,0.152,0.714,0.134
140,72527,2015-07-30,ATLH,345.0,345.0,335.0,339.99,2500,0.7269,0.0,0.809,0.191,0.7269,0.0,0.809,0.191
141,73069,2015-07-31,ATLH,344.0,345.0,335.0,339.55,5800,0.6249,0.0,0.792,0.208,0.6249,0.0,0.792,0.208
142,73595,2015-08-03,ATLH,342.0,342.0,342.0,342.0,100,-0.8442,0.223,0.743,0.034,-0.8442,0.223,0.743,0.034
143,74088,2015-08-04,ATLH,340.01,340.01,338.0,338.3,1000,-0.9231,0.314,0.686,0.0,-0.9231,0.314,0.686,0.0
144,74606,2015-08-05,ATLH,340.0,341.0,337.15,337.15,900,-0.8555,0.293,0.6,0.107,-0.8555,0.293,0.6,0.107
145,75126,2015-08-06,ATLH,340.0,343.99,334.0,339.99,2500,-0.3818,0.124,0.772,0.104,-0.3818,0.124,0.772,0.104
146,75649,2015-08-07,ATLH,344.45,344.45,330.05,341.0,2400,-0.946,0.297,0.68,0.023,-0.946,0.297,0.68,0.023
147,76155,2015-08-10,ATLH,340.0,345.0,336.01,336.03,3300,-0.6124,0.207,0.707,0.085,-0.6124,0.207,0.707,0.085
148,76679,2015-08-11,ATLH,336.05,339.49,336.05,339.0,1400,-0.926,0.377,0.623,0.0,-0.926,0.377,0.623,0.0
149,77196,2015-08-12,ATLH,340.0,344.5,340.0,340.27,3800,-0.0258,0.129,0.688,0.183,-0.0258,0.129,0.688,0.183
150,77722,2015-08-13,ATLH,340.0,350.1,340.0,349.66,9700,-0.8176,0.321,0.679,0.0,-0.8176,0.321,0.679,0.0
151,78227,2015-08-17,ATLH,350.01,355.0,350.0,350.75,4600,-0.8689,0.318,0.608,0.075,-0.8689,0.318,0.608,0.075
152,78737,2015-08-18,ATLH,355.0,364.9,352.0,355.0,4100,-0.8779,0.279,0.655,0.066,-0.8779,0.279,0.655,0.066
153,79253,2015-08-19,ATLH,357.0,357.0,355.0,355.0,1800,-0.6369,0.192,0.746,0.062,-0.6369,0.192,0.746,0.062
154,79772,2015-08-20,ATLH,355.0,358.0,355.0,355.0,900,0.5423,0.0,0.847,0.153,0.5423,0.0,0.847,0.153
155,80271,2015-08-21,ATLH,341.0,341.0,341.0,341.0,100,-0.6705,0.166,0.796,0.037,-0.6705,0.166,0.796,0.037
156,80787,2015-08-24,ATLH,341.0,341.0,325.0,325.0,1500,-0.9136,0.281,0.719,0.0,-0.9136,0.281,0.719,0.0
157,81865,2015-08-26,ATLH,341.1,341.25,341.1,341.25,200,-0.7269,0.217,0.783,0.0,-0.7269,0.217,0.783,0.0
158,82410,2015-08-27,ATLH,355.0,355.0,335.02,335.37,1500,-0.2023,0.166,0.691,0.144,-0.2023,0.166,0.691,0.144
159,82959,2015-08-28,ATLH,336.01,351.95,336.0,347.75,1300,-0.8957,0.252,0.748,0.0,-0.8957,0.252,0.748,0.0
160,83516,2015-08-31,ATLH,350.0,354.0,349.55,354.0,1000,-0.765,0.253,0.628,0.119,-0.765,0.253,0.628,0.119
161,84039,2015-09-01,ATLH,350.0,350.0,348.0,348.0,300,-0.2732,0.102,0.831,0.067,-0.2732,0.102,0.831,0.067
162,84523,2015-09-14,ATLH,340.25,346.0,340.0,344.85,2200,-0.8591,0.197,0.778,0.025,-0.8591,0.197,0.778,0.025
163,85000,2015-09-15,ATLH,342.01,345.0,340.01,340.25,2100,0.4019,0.063,0.82,0.117,0.4019,0.063,0.82,0.117
164,85479,2015-09-16,ATLH,340.0,346.0,340.0,343.19,2600,-0.0258,0.159,0.706,0.135,-0.0258,0.159,0.706,0.135
165,85972,2015-09-17,ATLH,349.0,350.0,349.0,350.0,700,-0.8176,0.246,0.686,0.069,-0.8176,0.246,0.686,0.069
166,86438,2015-09-18,ATLH,345.0,347.0,345.0,347.0,1000,-0.4019,0.12,0.794,0.086,-0.4019,0.12,0.794,0.086
167,86896,2015-09-21,ATLH,347.3,347.3,340.0,340.0,1200,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
168,87401,2015-09-22,ATLH,340.0,341.0,340.0,341.0,1000,0.0772,0.15,0.649,0.201,0.0772,0.15,0.649,0.201
169,87894,2015-09-23,ATLH,345.0,345.0,340.0,340.0,200,-0.7783,0.163,0.837,0.0,-0.7783,0.163,0.837,0.0
170,88386,2015-09-28,ATLH,342.0,342.0,325.0,340.0,6300,-0.2732,0.188,0.657,0.155,-0.2732,0.188,0.657,0.155
171,88863,2015-09-29,ATLH,323.1,333.8,323.0,333.8,1600,-0.7003,0.249,0.673,0.079,-0.7003,0.249,0.673,0.079
172,89332,2015-09-30,ATLH,325.56,326.01,325.0,326.01,700,-0.0258,0.083,0.854,0.063,-0.0258,0.083,0.854,0.063
173,89806,2015-10-01,ATLH,325.0,333.0,325.0,330.0,300,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
174,90277,2015-10-02,ATLH,325.02,330.0,325.02,330.0,1100,-0.9153,0.296,0.592,0.112,-0.9153,0.296,0.592,0.112
175,90761,2015-10-05,ATLH,332.0,335.0,332.0,335.0,300,-0.743,0.23,0.643,0.127,-0.743,0.23,0.643,0.127
176,91263,2015-10-06,ATLH,336.0,340.0,335.0,337.64,4000,-0.9136,0.297,0.703,0.0,-0.9136,0.297,0.703,0.0
177,91749,2015-10-07,ATLH,339.99,340.0,336.0,336.0,900,-0.4019,0.066,0.934,0.0,-0.4019,0.066,0.934,0.0
178,92239,2015-10-08,ATLH,320.05,340.0,320.05,330.08,3200,-0.1027,0.141,0.729,0.13,-0.1027,0.141,0.729,0.13
179,92742,2015-10-09,ATLH,336.99,338.0,332.0,335.0,1700,-0.4019,0.094,0.906,0.0,-0.4019,0.094,0.906,0.0
180,93248,2015-10-12,ATLH,335.5,340.0,335.5,338.83,1500,-0.631,0.241,0.627,0.132,-0.631,0.241,0.627,0.132
181,94268,2015-10-14,ATLH,344.0,344.0,344.0,344.0,100,-0.4588,0.14,0.811,0.05,-0.4588,0.14,0.811,0.05
182,94766,2015-10-15,ATLH,339.0,339.0,339.0,339.0,300,0.0516,0.164,0.692,0.144,0.0516,0.164,0.692,0.144
183,95260,2015-10-16,ATLH,338.02,339.9,338.02,339.1,1400,-0.7579,0.292,0.554,0.154,-0.7579,0.292,0.554,0.154
184,95767,2015-10-19,ATLH,338.99,339.0,338.99,339.0,800,-0.0,0.175,0.678,0.147,-0.0,0.175,0.678,0.147
185,96269,2015-10-20,ATLH,340.0,340.0,338.0,338.0,300,-0.9698,0.453,0.547,0.0,-0.9698,0.453,0.547,0.0
186,96770,2015-10-21,ATLH,337.5,340.0,337.5,340.0,6400,0.7184,0.108,0.672,0.22,0.7184,0.108,0.672,0.22
187,97271,2015-10-22,ATLH,340.0,345.0,340.0,344.85,6700,-0.25,0.092,0.816,0.092,-0.25,0.092,0.816,0.092
188,97758,2015-10-26,ATLH,344.99,344.99,344.0,344.0,1600,-0.6908,0.222,0.705,0.073,-0.6908,0.222,0.705,0.073
189,98282,2015-10-27,ATLH,345.0,350.0,344.1,344.1,900,-0.6486,0.202,0.798,0.0,-0.6486,0.202,0.798,0.0
190,98823,2015-10-28,ATLH,342.0,344.0,342.0,344.0,1700,0.0258,0.134,0.73,0.136,0.0258,0.134,0.73,0.136
191,99364,2015-10-29,ATLH,344.9,349.0,344.75,344.75,9800,0.8316,0.057,0.722,0.22,0.8316,0.057,0.722,0.22
192,99906,2015-10-30,ATLH,344.99,361.98,344.98,358.33,26400,-0.7996,0.177,0.79,0.034,-0.7996,0.177,0.79,0.034
193,100444,2015-11-02,ATLH,364.11,376.24,362.0,376.24,28100,-0.6705,0.17,0.83,0.0,-0.6705,0.17,0.83,0.0
194,100931,2015-11-03,ATLH,389.89,395.05,385.0,395.05,22900,-0.4939,0.088,0.912,0.0,-0.4939,0.088,0.912,0.0
195,101439,2015-11-04,ATLH,414.8,414.8,405.25,407.11,52600,-0.8957,0.293,0.707,0.0,-0.8957,0.293,0.707,0.0
196,101953,2015-11-05,ATLH,407.0,413.49,396.0,396.0,10600,-0.4767,0.195,0.663,0.141,-0.4767,0.195,0.663,0.141
197,102451,2015-11-06,ATLH,391.0,395.0,390.0,393.41,6800,-0.4939,0.237,0.612,0.152,-0.4939,0.237,0.612,0.152
198,102938,2015-11-09,ATLH,390.0,392.0,380.0,382.16,5300,-0.8074,0.22,0.749,0.031,-0.8074,0.22,0.749,0.031
199,103426,2015-11-10,ATLH,375.0,387.99,375.0,375.0,4700,-0.6369,0.17,0.764,0.067,-0.6369,0.17,0.764,0.067
200,103917,2015-11-11,ATLH,386.0,387.0,380.0,381.43,3400,-0.8481,0.266,0.697,0.037,-0.8481,0.266,0.697,0.037
201,104430,2015-11-12,ATLH,387.0,390.0,385.0,389.89,8300,0.9081,0.0,0.644,0.356,0.9081,0.0,0.644,0.356
202,104933,2015-11-13,ATLH,390.0,392.0,390.0,390.0,3200,0.3182,0.098,0.757,0.145,0.3182,0.098,0.757,0.145
203,105416,2015-11-16,ATLH,394.5,400.2,393.9,399.86,21700,-0.8555,0.299,0.594,0.107,-0.8555,0.299,0.594,0.107
204,105933,2015-11-17,ATLH,400.9,402.85,400.25,401.04,7300,-0.9136,0.297,0.659,0.044,-0.9136,0.297,0.659,0.044
205,106457,2015-11-18,ATLH,402.0,404.8,399.5,403.79,7700,-0.6798,0.203,0.692,0.104,-0.6798,0.203,0.692,0.104
206,106954,2015-11-19,ATLH,402.99,402.99,399.26,400.89,2300,-0.4404,0.166,0.725,0.109,-0.4404,0.166,0.725,0.109
207,107451,2015-11-20,ATLH,399.9,407.99,399.9,404.64,15300,-0.1372,0.132,0.764,0.104,-0.1372,0.132,0.764,0.104
208,107961,2015-11-23,ATLH,401.5,402.01,400.0,401.78,8700,-0.7906,0.229,0.684,0.087,-0.7906,0.229,0.684,0.087
209,108505,2015-11-24,ATLH,400.0,402.05,396.5,396.5,21700,0.4215,0.075,0.754,0.171,0.4215,0.075,0.754,0.171
210,109044,2015-11-25,ATLH,396.0,400.1,395.0,395.0,2600,0.4939,0.0,0.884,0.116,0.4939,0.0,0.884,0.116
211,109584,2015-11-26,ATLH,393.2,393.2,393.0,393.0,500,-0.6597,0.183,0.734,0.083,-0.6597,0.183,0.734,0.083
212,110102,2015-11-27,ATLH,395.0,397.0,395.0,396.13,1200,-0.1376,0.082,0.854,0.064,-0.1376,0.082,0.854,0.064
213,110634,2015-11-30,ATLH,390.0,392.0,376.33,390.61,8100,0.4939,0.0,0.873,0.127,0.4939,0.0,0.873,0.127
214,111133,2015-12-01,ATLH,385.0,386.0,382.0,386.0,1500,-0.0258,0.111,0.751,0.138,-0.0258,0.111,0.751,0.138
215,111624,2015-12-02,ATLH,390.0,390.0,382.01,382.01,2100,-0.7506,0.209,0.687,0.104,-0.7506,0.209,0.687,0.104
216,112107,2015-12-03,ATLH,390.0,390.0,385.0,385.01,1100,-0.4767,0.091,0.909,0.0,-0.4767,0.091,0.909,0.0
217,112589,2015-12-04,ATLH,394.99,394.99,394.99,394.99,100,0.5267,0.0,0.907,0.093,0.5267,0.0,0.907,0.093
